No.,Time,Source,Destination,Protocol,Length
1,2025-03-05 11:02:50.419344,10.201.12.158,239.255.102.18,IGMP,60
2,2025-03-05 11:02:50.632885,10.201.9.56,224.0.0.252,IGMP,60
3,2025-03-05 11:02:50.632885,10.201.10.225,224.0.0.252,IGMP,60
4,2025-03-05 11:02:50.726929,10.201.8.235,224.0.0.252,IGMP,60
5,2025-03-05 11:02:50.726929,10.201.8.125,224.0.0.252,IGMP,60
6,2025-03-05 11:02:50.726929,10.201.15.46,224.0.0.252,IGMP,60
7,2025-03-05 11:02:50.831765,10.201.9.232,224.0.0.252,IGMP,60
8,2025-03-05 11:02:50.831765,10.201.9.232,224.0.0.2,IGMP,60
9,2025-03-05 11:02:50.831765,192.168.1.1,224.0.0.252,IGMP,60
10,2025-03-05 11:02:50.831765,10.201.9.232,224.0.0.2,IGMP,60
11,2025-03-05 11:02:50.831765,192.168.1.1,224.0.0.252,IGMP,60
12,2025-03-05 11:02:50.831765,10.201.9.232,224.0.0.2,IGMP,60
13,2025-03-05 11:02:50.831765,10.201.9.232,224.0.0.2,IGMP,60
14,2025-03-05 11:02:50.831765,192.168.1.1,224.0.0.113,IGMP,60
15,2025-03-05 11:02:50.831765,10.201.9.232,224.0.0.2,IGMP,60
16,2025-03-05 11:02:50.831765,192.168.1.1,224.0.0.113,IGMP,60
17,2025-03-05 11:02:50.831765,10.201.9.232,224.0.0.2,IGMP,60
18,2025-03-05 11:02:50.831765,10.201.9.232,224.0.0.251,IGMP,60
19,2025-03-05 11:02:50.831765,10.201.9.232,224.0.0.251,IGMP,60
20,2025-03-05 11:02:50.831765,10.201.9.232,224.0.0.251,IGMP,60
21,2025-03-05 11:02:50.831765,10.201.14.178,224.0.0.252,IGMP,60
22,2025-03-05 11:02:50.940665,10.201.11.119,239.255.102.18,IGMP,60
23,2025-03-05 11:02:50.940665,10.201.9.232,224.0.0.113,IGMP,60
24,2025-03-05 11:02:50.940665,10.201.13.241,224.0.0.251,IGMP,60
25,2025-03-05 11:02:51.033053,10.201.9.105,224.0.0.252,IGMP,60
